Date,Open,High,Low,Close,Adj Close,Volume
2020-05-15,1.750000,1.750000,1.670000,1.680000,1.680000,1501054
2020-05-18,1.720000,1.740000,1.600000,1.600000,1.600000,1492112
2020-05-19,1.600000,1.650000,1.530000,1.540000,1.540000,1075221
2020-05-20,1.540000,1.610000,1.540000,1.600000,1.600000,378821
2020-05-21,1.640000,1.680000,1.610000,1.680000,1.680000,1891387
2020-05-22,1.720000,1.730000,1.650000,1.680000,1.680000,1189456
2020-05-26,1.690000,1.690000,1.610000,1.630000,1.630000,1643550
2020-05-27,1.640000,1.640000,1.570000,1.610000,1.610000,1440367
2020-05-28,1.600000,1.640000,1.570000,1.580000,1.580000,1124431
2020-05-29,1.580000,1.650000,1.580000,1.650000,1.650000,1896495
2020-06-01,1.690000,1.700000,1.630000,1.660000,1.660000,1379805
2020-06-02,1.680000,1.740000,1.650000,1.710000,1.710000,2819391
2020-06-03,1.730000,1.770000,1.690000,1.750000,1.750000,2073085
2020-06-04,1.760000,1.830000,1.750000,1.810000,1.810000,1534339
2020-06-05,1.860000,1.990000,1.860000,1.990000,1.990000,3439081
2020-06-08,2.170000,2.180000,2.100000,2.180000,2.180000,7027088
2020-06-09,2.350000,2.390000,2.200000,2.390000,2.390000,4528719
2020-06-10,2.490000,2.500000,2.460000,2.500000,2.500000,1654513
2020-06-11,2.620000,2.620000,2.380000,2.400000,2.400000,7061365
